provider_id,category,proxy_relevance,test_review_count,mean_test_rating,mean_actual_credibility,actual_fake_review_rate
P05180,A/C,0.6475333333,3,3.666666667,0.869,0
P05181,A/C,0.7392,1,4,0.924,0
P05184,A/C,0.7376,1,4,0.922,0
P05185,A/C,0.8353,2,4.5,0.9255,0
P05186,A/C,0.5451,2,3,0.9085,0
P05187,A/C,0.5182666667,3,4,0.7076666667,0.3333333333
P05189,A/C,0.666,1,5,0.666,0
P05191,A/C,0.552,1,3,0.92,0
P05192,A/C,0.55148,5,3.4,0.7442,0.2
P05194,A/C,0.7464,1,4,0.933,0
P05195,A/C,0.5598,1,3,0.933,0
P05198,A/C,0.298,2,2,0.58,0.5
P05200,A/C,0.5688,1,3,0.948,0
P05201,A/C,0.6008,1,4,0.751,0
P05202,A/C,0.921,1,5,0.921,0
P05203,A/C,0.5394,1,3,0.899,0
P05204,A/C,0.6548,2,3.5,0.9325,0
P05205,A/C,0.182,1,1,0.91,0
P05209,A/C,0.5562,1,3,0.927,0
P05210,A/C,0.549,1,3,0.915,0
P05211,A/C,0.6365,2,3.5,0.9125,0
P05212,A/C,0.549,1,3,0.915,0
P05214,A/C,0.907,1,5,0.907,0
P05215,A/C,0.137,1,1,0.685,1
P05216,A/C,0.5532,1,3,0.922,0
P05217,A/C,0.546,1,3,0.91,0
P05218,A/C,0.8285,2,4.5,0.9185,0
P05219,A/C,0.4266,1,3,0.711,0
P05220,A/C,0.636,3,3.666666667,0.8553333333,0
P05223,A/C,0.7192,1,4,0.899,0
P05224,A/C,0.3672,1,2,0.918,0
P05226,A/C,0.3772,1,2,0.943,0
P05227,A/C,0.4542,1,3,0.757,0
P05229,A/C,0.7088,1,4,0.886,0
P05230,A/C,0.753,2,4.5,0.829,0
P05231,A/C,0.7352,1,4,0.919,0
P05233,A/C,0.3648,2,2,0.912,0
P05234,A/C,0.904,1,5,0.904,0
P05239,A/C,0.7144,1,4,0.893,0
P05240,A/C,0.8205,2,4.5,0.913,0
P05241,A/C,0.1458,1,3,0.243,1
P05242,A/C,0.4325333333,3,2.666666667,0.6703333333,0.3333333333
P05243,A/C,0.898,1,5,0.898,0
P05245,A/C,0.382,2,3.5,0.568,0.5
P05246,A/C,0.52825,4,3,0.77175,0.25
P05249,A/C,0.3508,2,3.5,0.5295,0.5
P05250,A/C,0.4614,1,3,0.769,0
P05252,A/C,0.573,1,3,0.955,0
P05254,A/C,0.896,1,5,0.896,0
P05255,A/C,0.5767,4,3.5,0.80075,0.25
P05256,A/C,0.32,1,5,0.32,1
P05259,A/C,0.7322,2,4.5,0.827,0
P05260,A/C,0.4004,2,2.5,0.634,0.5
P05261,A/C,0.7325,2,4,0.9145,0
P05264,A/C,0.0748,1,1,0.374,1
P05265,A/C,0.7344,1,4,0.918,0
P05267,A/C,0.3787,2,2.5,0.647,0.5
P05268,A/C,0.5304,2,3,0.884,0
P05269,A/C,0.7005,2,5,0.7005,0.5
P05271,A/C,0.704,1,5,0.704,0
P05272,A/C,0.4567,2,2.5,0.909,0
P05276,A/C,0.2059,2,1.5,0.563,0.5
P05277,A/C,0.3264,2,2,0.816,0
P05279,A/C,0.7608,1,4,0.951,0
P05280,A/C,0.7177,2,4,0.8955,0
P05281,A/C,0.327,1,3,0.545,1
P05282,A/C,0.5613,2,3.5,0.8155,0
P05283,A/C,0.7112,1,4,0.889,0
P05284,A/C,0.74,1,4,0.925,0
P05286,A/C,0.7392,1,4,0.924,0
P05291,A/C,0.5307,2,3,0.8135,0.5
P05294,A/C,0.5436,1,3,0.906,0
P05296,A/C,0.732,1,4,0.915,0
P05297,A/C,0.5406,1,3,0.901,0
P05298,A/C,0.5358,1,3,0.893,0
P05299,A/C,0.628,2,5,0.628,0.5
P05301,A/C,0.501,1,3,0.835,0
P05302,A/C,0.3648,1,2,0.912,0
P05306,A/C,0.5358,1,3,0.893,0
P05312,A/C,0.7592,1,4,0.949,0
P05314,A/C,0.202,1,5,0.202,1
P05315,A/C,0.0848,1,1,0.424,1
P05318,A/C,0.4153,2,2.5,0.866,0
P05319,A/C,0.334,1,5,0.334,1
P05321,A/C,0.943,1,5,0.943,0
P05323,A/C,0.4304,1,4,0.538,1
P05324,A/C,0.6095,2,3.5,0.8225,0
P05326,A/C,0.7168,1,4,0.896,0
P05327,A/C,0.6797,4,3.75,0.90725,0
P05328,A/C,0.5002,2,3,0.627,0.5
P05330,A/C,0.857,2,4.5,0.952,0
P05331,A/C,0.5606,3,3,0.9343333333,0
P05332,A/C,0.3624,1,2,0.906,0
P05334,A/C,0.4404,1,3,0.734,0
P05336,A/C,0.7248,1,4,0.906,0
P05337,A/C,0.7152,1,4,0.894,0
P05339,A/C,0.378,1,2,0.945,0
P05340,A/C,0.0968,1,1,0.484,1
P05341,A/C,0.4038,2,2.5,0.83,0
P05343,A/C,0.659,1,5,0.659,0
P05344,A/C,0.914,1,5,0.914,0
P05347,A/C,0.66,2,4,0.825,0
P05348,A/C,0.7472,1,4,0.934,0
P05349,A/C,0.756,1,4,0.945,0
P05352,A/C,0.5538,1,3,0.923,0
P05353,A/C,0.3708,2,2,0.927,0
P07142,CCTV,0.549,1,3,0.915,0
P07143,CCTV,0.7112,1,4,0.889,0
P07144,CCTV,0.3821333333,3,2.333333333,0.7106666667,0.3333333333
P07145,CCTV,0.237,1,5,0.237,1
P07146,CCTV,0.7557,2,4.5,0.8275,0
P07147,CCTV,0.916,1,5,0.916,0
P07148,CCTV,0.5808,1,4,0.726,0
P07149,CCTV,0.901,1,5,0.901,0
P07151,CCTV,0.5634,1,3,0.939,0
P07159,CCTV,0.669,1,5,0.669,0
P07160,CCTV,0.758,1,5,0.758,1
P07163,CCTV,0.324,1,2,0.81,0
P07165,CCTV,0.4164,2,2.5,0.817,0
P07166,CCTV,0.573,1,3,0.955,0
P07169,CCTV,0.474,2,3,0.79,0.5
P07170,CCTV,0.271,1,5,0.271,1
P07171,CCTV,0.107,1,1,0.535,1
P07173,CCTV,0.257,1,5,0.257,1
P07174,CCTV,0.5328,1,3,0.888,0
P07176,CCTV,0.6,1,4,0.75,0
P07180,CCTV,0.316,1,4,0.395,1
P07182,CCTV,0.6995,2,4.5,0.7895,0
P07184,CCTV,0.4523,2,2.5,0.904,0
P07187,CCTV,0.334,1,2,0.835,0
P07192,CCTV,0.378,1,2,0.945,0
P07193,CCTV,0.7176,1,4,0.897,0
P07195,CCTV,0.3712,2,2,0.928,0
P07197,CCTV,0.4583,2,4,0.6485,0.5
P07198,CCTV,0.0808,1,1,0.404,1
P07199,CCTV,0.048,1,1,0.24,1
P07200,CCTV,0.84,1,5,0.84,0
P07202,CCTV,0.7304,1,4,0.913,0
P07203,CCTV,0.3652,1,2,0.913,0
P07204,CCTV,0.76,1,4,0.95,0
P07208,CCTV,0.5022,1,3,0.837,0
P07210,CCTV,0.4151,2,4,0.6025,0.5
P07211,CCTV,0.5994,3,3.333333333,0.8776666667,0.3333333333
P07212,CCTV,0.947,1,5,0.947,0
P07214,CCTV,0.3724,1,2,0.931,0
P07216,CCTV,0.7184,1,4,0.898,0
P07217,CCTV,0.5694,2,4.5,0.6525,0.5
P07218,CCTV,0.5712,1,3,0.952,0
P07222,CCTV,0.308,1,5,0.308,1
P07224,CCTV,0.7466,3,4,0.926,0
P07226,CCTV,0.7596,2,4.5,0.8325,0
P07229,CCTV,0.764,2,4.5,0.8405,0
P07230,CCTV,0.682,1,5,0.682,1
P07231,CCTV,0.6648,1,4,0.831,0
P07232,CCTV,0.6274,2,3.5,0.8975,0
P07233,CCTV,0.4266,1,3,0.711,0
P07234,CCTV,0.163,1,5,0.163,1
P07235,CCTV,0.5353333333,3,3.333333333,0.8466666667,0.3333333333
P07237,CCTV,0.7194,3,4,0.8896666667,0
P07241,CCTV,0.736,1,4,0.92,0
P07245,CCTV,0.716,1,4,0.895,0
P07247,CCTV,0.5556,1,3,0.926,0
P07248,CCTV,0.1933,2,1.5,0.5815,0.5
P07250,CCTV,0.7584,1,4,0.948,0
P07253,CCTV,0.936,1,5,0.936,0
P07254,CCTV,0.604,1,4,0.755,0
P07255,CCTV,0.83,2,5,0.83,0.5
P07256,CCTV,0.7179,2,4,0.8925,0
P07258,CCTV,0.724,1,4,0.905,0
P07259,CCTV,0.933,1,5,0.933,0
P07262,CCTV,0.0366,1,1,0.183,1
P07263,CCTV,0.257,2,3,0.421,1
P07264,CCTV,0.5618,2,3.5,0.811,0
P07265,CCTV,0.5328,1,3,0.888,0
P07268,CCTV,0.938,1,5,0.938,0
P07270,CCTV,0.6046666667,3,4.333333333,0.7066666667,0.3333333333
P07273,CCTV,0.3704,1,2,0.926,0
P07275,CCTV,0.934,1,5,0.934,0
P07276,CCTV,0.6206,3,3.333333333,0.929,0
P07280,CCTV,0.678,1,5,0.678,0
P07281,CCTV,0.7576,1,4,0.947,0
P07282,CCTV,0.4452,2,3,0.66,0.5
P07283,CCTV,0.664,2,4,0.83,0
P07284,CCTV,0.7128,1,4,0.891,0
P07293,CCTV,0.2791,2,2,0.4905,0.5
P07294,CCTV,0.5412,1,3,0.902,0
P07295,CCTV,0.3788,1,2,0.947,0
P07296,CCTV,0.5596666667,3,3.333333333,0.834,0
P07300,CCTV,0.896,1,5,0.896,0
P07304,CCTV,0.423,1,3,0.705,0
P07305,CCTV,0.7228,2,4,0.9035,0
P07306,CCTV,0.7176,1,4,0.897,0
P07311,CCTV,0.4561,2,3.5,0.6845,0.5
P07313,CCTV,0.4508,2,2.5,0.9035,0
P07316,CCTV,0.62,3,3.333333333,0.929,0
P07317,CCTV,0.933,1,5,0.933,0
P07318,CCTV,0.545,1,5,0.545,0
P07321,CCTV,0.668,1,5,0.668,0
P07323,CCTV,0.899,1,5,0.899,0
P07324,CCTV,0.567,1,3,0.945,0
P07325,CCTV,0.6114666667,3,3.333333333,0.921,0
P07327,CCTV,0.5442,1,3,0.907,0
P07329,CCTV,0.7552,1,4,0.944,0
P07330,CCTV,0.3552,1,2,0.888,0
P07331,CCTV,0.5688,2,3,0.946,0
P07332,CCTV,0.74,1,4,0.925,0
P07333,CCTV,0.625,2,4.5,0.6705,0.5
P07334,CCTV,0.6749333333,3,3.666666667,0.9186666667,0
P07336,CCTV,0.438,1,3,0.73,0
P07339,CCTV,0.3687,2,3,0.6145,0.5
P07340,CCTV,0.7424,1,4,0.928,0
P07341,CCTV,0.6808,1,4,0.851,0
P07342,CCTV,0.5532,1,3,0.922,0
P07343,CCTV,0.94,1,5,0.94,0
P07346,CCTV,0.5358,1,3,0.893,0
P07347,CCTV,0.7216,1,4,0.902,0
P07348,CCTV,0.6907,2,4,0.8805,0
P07349,CCTV,0.0868,1,1,0.434,1
P07356,CCTV,0.5627333333,3,3.666666667,0.7553333333,0
P07357,CCTV,0.221,1,5,0.221,1
P07358,CCTV,0.906,1,5,0.906,0
P07359,CCTV,0.555,2,3,0.925,0
P07360,CCTV,0.5694,1,3,0.949,0
P07361,CCTV,0.7932,2,4.5,0.8845,0
P07363,CCTV,0.366,1,2,0.915,0
P07364,CCTV,0.5562,1,3,0.927,0
P07365,CCTV,0.366,1,2,0.915,0
P07366,CCTV,0.5472,1,3,0.912,0
P07367,CCTV,0.375,1,5,0.375,1
P07369,CCTV,0.5206,3,4.666666667,0.5836666667,0.6666666667
P07370,CCTV,0.951,1,5,0.951,0
P07371,CCTV,0.4302,1,3,0.717,0
P07373,CCTV,0.712,1,4,0.89,0
P07374,CCTV,0.5486,2,3,0.91,0
P07375,CCTV,0.7384,1,4,0.923,0
P07376,CCTV,0.3804,1,2,0.951,0
P07377,CCTV,0.3696,1,2,0.924,0
P07380,CCTV,0.7372,2,4,0.919,0
P07381,CCTV,0.7544,1,4,0.943,0
P07383,CCTV,0.7624,1,4,0.953,0
P07384,CCTV,0.525,1,3,0.875,0
P07385,CCTV,0.61715,4,3.5,0.8815,0
P07386,CCTV,0.4704,2,3,0.819,0
P07387,CCTV,0.3796,1,2,0.949,0
P07388,CCTV,0.6438,2,3.5,0.9185,0
P07389,CCTV,0.6056,1,4,0.757,0
P07395,CCTV,0.6016,1,4,0.752,0
P07399,CCTV,0.3812,1,2,0.953,0
P07402,CCTV,0.822,1,5,0.822,0
P07403,CCTV,0.949,1,5,0.949,0
P07405,CCTV,0.7208,1,4,0.901,0
P07407,CCTV,0.5946666667,3,3.333333333,0.8896666667,0
P07409,CCTV,0.628,1,4,0.785,0
P07414,CCTV,0.0924,1,1,0.462,1
P07415,CCTV,0.5308,2,3.5,0.7785,0
P07416,CCTV,0.934,1,5,0.934,0
P07421,CCTV,0.384,1,4,0.48,1
P07423,CCTV,0.5793,2,3.5,0.8655,0
P07424,CCTV,0.748,1,4,0.935,0
P07425,CCTV,0.4392,2,4,0.607,0.5
P07426,CCTV,0.933,1,5,0.933,0
P07430,CCTV,0.955,1,5,0.955,0
P07431,CCTV,0.5604,1,3,0.934,0
P07433,CCTV,0.4505,2,3.5,0.67,0.5
P07434,CCTV,0.6086,2,3.5,0.8665,0
P07435,CCTV,0.7568,1,4,0.946,0
P07436,CCTV,0.589,3,3.666666667,0.7996666667,0
P07438,CCTV,0.3684,1,2,0.921,0
P07440,CCTV,0.3764,1,2,0.941,0
P07441,CCTV,0.931,1,5,0.931,0
P07443,CCTV,0.5944,1,4,0.743,0
P07444,CCTV,0.25,1,2,0.625,0
P07447,CCTV,0.7184,1,4,0.898,0
P07448,CCTV,0.5448,1,3,0.908,0
P07449,CCTV,0.6904,1,4,0.863,0
P07450,CCTV,0.5616,1,3,0.936,0
P07451,CCTV,0.5712,1,3,0.952,0
P07452,CCTV,0.5472,1,3,0.912,0
P07453,CCTV,0.688,1,4,0.86,0
P07454,CCTV,0.895,1,5,0.895,0
P07459,CCTV,0.894,1,5,0.894,0
P07460,CCTV,0.378,1,5,0.378,1
P07461,CCTV,0.4419,2,2.5,0.8725,0
P07463,CCTV,0.5504,2,3,0.928,0
P07464,CCTV,0.3576,1,2,0.894,0
P07466,CCTV,0.7512,1,4,0.939,0
P07468,CCTV,0.7088,1,4,0.886,0
P07471,CCTV,0.5574,1,3,0.929,0
P07473,CCTV,0.647,2,3.5,0.92,0
P07474,CCTV,0.7488,1,4,0.936,0
P07476,CCTV,0.6655,2,5,0.6655,0.5
P07479,CCTV,0.3724,1,2,0.931,0
P07480,CCTV,0.4507,2,2.5,0.9,0
P07481,CCTV,0.8165,2,4.5,0.905,0
P07482,CCTV,0.5058,1,3,0.843,0
P07484,CCTV,0.5016,1,3,0.836,0
P07485,CCTV,0.3736,1,4,0.467,1
P07487,CCTV,0.7512,1,4,0.939,0
P07488,CCTV,0.5364,1,3,0.894,0
P07489,CCTV,0.6567,2,3.5,0.9315,0
P07490,CCTV,0.4637,2,2.5,0.93,0
P07495,CCTV,0.1366,1,1,0.683,0
P00715,Carpenters,0.724,1,4,0.905,0
P00716,Carpenters,0.8383,2,4.5,0.9335,0
P00719,Carpenters,0.5496,1,3,0.916,0
P00720,Carpenters,0.949,1,5,0.949,0
P00721,Carpenters,0.5445333333,3,3.333333333,0.8596666667,0.3333333333
P00722,Carpenters,0.915,1,5,0.915,0
P00724,Carpenters,0.2443,2,3,0.3735,1
P00726,Carpenters,0.5976,1,4,0.747,0
P00727,Carpenters,0.74,1,4,0.925,0
P00728,Carpenters,0.5792,3,3.666666667,0.8186666667,0
P00729,Carpenters,0.564,1,3,0.94,0
P00730,Carpenters,0.887,1,5,0.887,0
P00731,Carpenters,0.2561,2,2.5,0.5785,0.5
P00733,Carpenters,0.5652,1,3,0.942,0
P00734,Carpenters,0.5466,1,3,0.911,0
P00735,Carpenters,0.5856,1,4,0.732,0
P00737,Carpenters,0.3648,1,2,0.912,0
P00739,Carpenters,0.7196,2,4,0.904,0
P00744,Carpenters,0.5768,1,4,0.721,0
P00745,Carpenters,0.7584,1,4,0.948,0
P00746,Carpenters,0.1412,1,1,0.706,0
P00747,Carpenters,0.2296,1,4,0.287,1
P00754,Carpenters,0.5316,1,3,0.886,0
P00756,Carpenters,0.7544,1,4,0.943,0
P00760,Carpenters,0.58255,4,3.25,0.8815,0
P00763,Carpenters,0.5376,1,3,0.896,0
P00764,Carpenters,0.892,1,5,0.892,0
P00766,Carpenters,0.5622,1,3,0.937,0
P00768,Carpenters,0.532,1,5,0.532,1
P00770,Carpenters,0.4771,2,3,0.5755,0.5
P00771,Carpenters,0.416,1,5,0.416,1
P00772,Carpenters,0.9315,2,5,0.9315,0
P00773,Carpenters,0.7336,2,4,0.917,0
P00777,Carpenters,0.5440666667,3,3,0.9143333333,0
P00778,Carpenters,0.3096,1,2,0.774,0
P00779,Carpenters,0.894,1,5,0.894,0
P00781,Carpenters,0.918,1,5,0.918,0
P00782,Carpenters,0.5951,2,3.5,0.8345,0
P00783,Carpenters,0.5580666667,3,4,0.744,0.3333333333
P00784,Carpenters,0.3744,1,2,0.936,0
P00785,Carpenters,0.5025,2,4,0.6895,0.5
P00786,Carpenters,0.7335,2,4,0.9125,0
P00787,Carpenters,0.7208,1,4,0.901,0
P00789,Carpenters,0.7448,1,4,0.931,0
P00794,Carpenters,0.441,1,5,0.441,1
P00795,Carpenters,0.5458,3,3,0.9096666667,0
P00796,Carpenters,0.5767333333,3,3.666666667,0.7966666667,0.3333333333
P00799,Carpenters,0.52605,4,3,0.8725,0
P00800,Carpenters,0.7344,2,4,0.918,0
P00801,Carpenters,0.5604,2,3,0.9245,0
P00802,Carpenters,0.58275,4,4,0.77075,0.25
P00803,Carpenters,0.0578,1,1,0.289,1
P00804,Carpenters,0.6559,2,3.5,0.9415,0
P00805,Carpenters,0.5346,1,3,0.891,0
P00808,Carpenters,0.7576,1,4,0.947,0
P00809,Carpenters,0.4465,2,4,0.6275,0.5
P00813,Carpenters,0.888,1,5,0.888,0
P00816,Carpenters,0.7336,2,4,0.917,0
P00817,Carpenters,0.7464,2,4,0.927,0
P00820,Carpenters,0.6451333333,3,3.666666667,0.8976666667,0
P00821,Carpenters,0.7428,2,4,0.9285,0
P00824,Carpenters,0.362,1,2,0.905,0
P00827,Carpenters,0.907,1,5,0.907,0
P00828,Carpenters,0.5424,1,3,0.904,0
P00830,Carpenters,0.891,1,5,0.891,0
P00833,Carpenters,0.3563,2,2.5,0.6665,0.5
P00835,Carpenters,0.7603333333,3,4.666666667,0.822,0
P00837,Carpenters,0.7608,1,4,0.951,0
P00838,Carpenters,0.292,1,5,0.292,1
P00841,Carpenters,0.3413333333,3,2,0.7686666667,0.3333333333
P00846,Carpenters,0.716,1,4,0.895,0
P00847,Carpenters,0.3069,2,3.5,0.576,0.5
P00848,Carpenters,0.157,1,5,0.157,1
P00850,Carpenters,0.7394,2,4,0.925,0
P00852,Carpenters,0.71045,4,4,0.89325,0
P00854,Carpenters,0.7584,1,4,0.948,0
P00858,Carpenters,0.804,1,5,0.804,1
P00860,Carpenters,0.4732666667,3,3,0.6213333333,0.3333333333
P00862,Carpenters,0.4444,2,2.5,0.8885,0
P00864,Carpenters,0.7408,1,4,0.926,0
P00866,Carpenters,0.7837,2,4.5,0.879,0
P00867,Carpenters,0.5676,1,3,0.946,0
P00872,Carpenters,0.338,1,5,0.338,1
P00874,Carpenters,0.6335,2,3.5,0.9025,0
P00875,Carpenters,0.3736,1,2,0.934,0
P00876,Carpenters,0.746,2,4,0.9325,0
P00878,Carpenters,0.5598,1,3,0.933,0
P00879,Carpenters,0.2928,1,4,0.366,1
P00880,Carpenters,0.0494,1,1,0.247,1
P00882,Carpenters,0.5472,1,3,0.912,0
P00883,Carpenters,0.3456,2,3.5,0.48,1
P00884,Carpenters,0.5442,1,3,0.907,0
P00885,Carpenters,0.7176,1,4,0.897,0
P00886,Carpenters,0.7344,1,4,0.918,0
P00888,Carpenters,0.4479,2,2.5,0.8945,0
P00891,Carpenters,0.5322,1,3,0.887,0
P00893,Carpenters,0.4541,2,2.5,0.911,0
P00894,Carpenters,0.5592,1,3,0.932,0
P00897,Carpenters,0.6844,2,4,0.8555,0
P00899,Carpenters,0.315,1,5,0.315,1
P00902,Carpenters,0.4029,2,3,0.6715,0.5
P00903,Carpenters,0.66,1,5,0.66,0
P00904,Carpenters,0.24,1,5,0.24,1
P00907,Carpenters,0.36,1,2,0.9,0
P00908,Carpenters,0.679,1,5,0.679,0
P00909,Carpenters,0.902,2,5,0.902,0
P00910,Carpenters,0.7496,1,4,0.937,0
P00912,Carpenters,0.5664,2,3,0.948,0
P00914,Carpenters,0.3756,1,2,0.939,0
P00915,Carpenters,0.462,1,3,0.77,0
P00917,Carpenters,0.3928,2,2.5,0.8405,0
P00919,Carpenters,0.2882,2,2,0.554,0.5
P00923,Carpenters,0.786,2,4.5,0.8745,0
P00925,Carpenters,0.5807,2,3.5,0.844,0
P00926,Carpenters,0.5676,1,3,0.946,0
P00927,Carpenters,0.5465,2,5,0.5465,0.5
P00928,Carpenters,0.891,1,5,0.891,0
P00931,Carpenters,0.4932,1,3,0.822,0
P00933,Carpenters,0.4535,2,2.5,0.9085,0
P00934,Carpenters,0.4614,1,3,0.769,0
P00935,Carpenters,0.888,1,5,0.888,0
P00936,Carpenters,0.462,1,3,0.77,0
P00937,Carpenters,0.5544,1,3,0.924,0
P00938,Carpenters,0.5456,2,3,0.9185,0
P00940,Carpenters,0.676,2,4,0.845,0
P00941,Carpenters,0.5322,1,3,0.887,0
P00942,Carpenters,0.916,1,5,0.916,0
P00946,Carpenters,0.5412,2,3,0.902,0
P00947,Carpenters,0.3636,1,2,0.909,0
P00948,Carpenters,0.74,1,4,0.925,0
P00951,Carpenters,0.6381,2,3.5,0.9165,0
P00952,Carpenters,0.7232,1,4,0.904,0
P00955,Carpenters,0.5556,2,3,0.93,0
P00958,Carpenters,0.5466,1,3,0.911,0
P00961,Carpenters,0.9155,2,5,0.9155,0
P00962,Carpenters,0.3432,1,3,0.572,1
P00963,Carpenters,0.4646,2,2.5,0.93,0
P00964,Carpenters,0.557,2,4,0.746,0.5
P00965,Carpenters,0.354,1,2,0.885,0
P00966,Carpenters,0.6112666667,3,3.333333333,0.9173333333,0
P00969,Carpenters,0.708,1,4,0.885,0
P00972,Carpenters,0.5901,2,3.5,0.8325,0
P00973,Carpenters,0.5712,1,3,0.952,0
P00974,Carpenters,0.5529,2,3,0.9215,0
P00975,Carpenters,0.931,1,5,0.931,0
P00977,Carpenters,0.1074,1,1,0.537,1
P00979,Carpenters,0.905,1,5,0.905,0
P00984,Carpenters,0.5448,1,3,0.908,0
P00985,Carpenters,0.676,1,4,0.845,0
P00986,Carpenters,0.4656,2,2.5,0.93,0
P00989,Carpenters,0.7568,1,4,0.946,0
P00990,Carpenters,0.656,1,4,0.82,0
P00991,Carpenters,0.7756666667,3,4.333333333,0.895,0
