query_id,category,method,candidate_count,top_k,ndcg_at_5,precision_at_5,recall_at_5,map_at_5,selected_mean_proxy_relevance,ideal_mean_proxy_relevance,cold_start_candidates,ranked_provider_ids,ideal_provider_ids
EVAL-007D1795-006,Carpenters,average_rating,10,5,0.6487491848,0.4,0.4,0.2,0.61082,0.7979,0,P00838|P00716|P00963|P00813|P00973,P00813|P00716|P00858|P01043|P00787
EVAL-007D1795-006,Carpenters,catf,10,5,0.823216183,0.6,0.6,0.42,0.6775,0.7979,0,P00813|P00838|P00733|P00716|P00858,P00813|P00716|P00858|P01043|P00787
EVAL-007D1795-006,Carpenters,catf_no_credibility,10,5,0.8224013595,0.6,0.6,0.42,0.6775,0.7979,0,P00813|P00838|P00733|P00858|P00716,P00813|P00716|P00858|P01043|P00787
EVAL-007D1795-006,Carpenters,catf_uniform_weights,10,5,0.8159245805,0.6,0.6,0.4533333333,0.66086,0.7979,0,P00813|P00838|P00716|P00733|P00787,P00813|P00716|P00858|P01043|P00787
EVAL-007D1795-007,Carpenters,average_rating,10,5,0.646407571,0.4,0.4,0.2,0.4481466667,0.6386733333,0,P00841|P00903|P00964|P00735|P01008,P00817|P00903|P00966|P00972|P00735
EVAL-007D1795-007,Carpenters,catf,10,5,0.6554868364,0.4,0.4,0.1466666667,0.4654266667,0.6386733333,0,P00841|P00964|P00817|P01008|P00735,P00817|P00903|P00966|P00972|P00735
EVAL-007D1795-007,Carpenters,catf_no_credibility,10,5,0.6309553621,0.4,0.4,0.13,0.4654266667,0.6386733333,0,P00841|P00964|P01008|P00817|P00735,P00817|P00903|P00966|P00972|P00735
EVAL-007D1795-007,Carpenters,catf_uniform_weights,10,5,0.648360228,0.4,0.4,0.13,0.4481466667,0.6386733333,0,P00964|P00841|P01008|P00735|P00903,P00817|P00903|P00966|P00972|P00735
EVAL-007D1795-008,Carpenters,average_rating,10,5,0.6170437899,0.2,0.2,0.06666666667,0.5848666667,0.8168,0,P00771|P01025|P00781|P00875|P00796,P00781|P00909|P00923|P00854|P00739
EVAL-007D1795-008,Carpenters,catf,10,5,0.6942738436,0.4,0.4,0.4,0.51292,0.8168,0,P00781|P00923|P01016|P00771|P00875,P00781|P00909|P00923|P00854|P00739
EVAL-007D1795-008,Carpenters,catf_no_credibility,10,5,0.622358772,0.2,0.2,0.2,0.48372,0.8168,0,P00781|P00875|P01016|P00771|P01025,P00781|P00909|P00923|P00854|P00739
EVAL-007D1795-008,Carpenters,catf_uniform_weights,10,5,0.7909162549,0.4,0.4,0.4,0.62672,0.8168,0,P00781|P00923|P00771|P00875|P01025,P00781|P00909|P00923|P00854|P00739
EVAL-007D1795-009,Carpenters,average_rating,10,5,0.7728570639,0.6,0.6,0.3833333333,0.65526,0.75604,0,P00785|P00942|P00990|P01069|P00794,P00942|P00730|P01069|P00990|P00801
EVAL-007D1795-009,Carpenters,catf,10,5,0.891635492,0.6,0.6,0.42,0.70146,0.75604,0,P00942|P00785|P00794|P00730|P01069,P00942|P00730|P01069|P00990|P00801
EVAL-007D1795-009,Carpenters,catf_no_credibility,10,5,0.835274972,0.4,0.4,0.3333333333,0.62178,0.75604,0,P00942|P00785|P00730|P00794|P01027,P00942|P00730|P01069|P00990|P00801
EVAL-007D1795-009,Carpenters,catf_uniform_weights,10,5,0.870773644,0.6,0.6,0.42,0.6805,0.75604,0,P00942|P00785|P00794|P00730|P00990,P00942|P00730|P01069|P00990|P00801
EVAL-007D1795-010,Carpenters,average_rating,10,5,0.853254422,0.8,0.8,0.71,0.718056,0.82856,0,P00722|P00850|P01007|P00897|P00928,P00722|P01041|P00928|P00850|P00897
EVAL-007D1795-010,Carpenters,catf,10,5,0.8848307256,0.8,0.8,0.6433333333,0.7524,0.82856,0,P00722|P00941|P00928|P00850|P00897,P00722|P01041|P00928|P00850|P00897
EVAL-007D1795-010,Carpenters,catf_no_credibility,10,5,0.9071714283,0.8,0.8,0.71,0.7524,0.82856,0,P00722|P00928|P00941|P00850|P00897,P00722|P01041|P00928|P00850|P00897
EVAL-007D1795-010,Carpenters,catf_uniform_weights,10,5,0.8613971318,0.6,0.6,0.6,0.687616,0.82856,0,P00722|P00928|P00850|P00941|P01007,P00722|P01041|P00928|P00850|P00897
EVAL-007D1795-011,Carpenters,average_rating,10,5,0.7545169076,0.4,0.4,0.2333333333,0.6699533333,0.7909066667,0,P00783|P01002|P01059|P00782|P00754,P01059|P00979|P00948|P01002|P01023
EVAL-007D1795-011,Carpenters,catf,10,5,0.7562505772,0.4,0.4,0.2,0.6670333333,0.7909066667,0,P00783|P00979|P00782|P01002|P01006,P01059|P00979|P00948|P01002|P01023
EVAL-007D1795-011,Carpenters,catf_no_credibility,10,5,0.7562505772,0.4,0.4,0.2,0.6670333333,0.7909066667,0,P00783|P00979|P00782|P01002|P01006,P01059|P00979|P00948|P01002|P01023
EVAL-007D1795-011,Carpenters,catf_uniform_weights,10,5,0.7356515481,0.4,0.4,0.1666666667,0.6670333333,0.7909066667,0,P00783|P00782|P00979|P01002|P01006,P01059|P00979|P00948|P01002|P01023
EVAL-007D1795-012,Carpenters,average_rating,10,5,0.7784185644,0.6,0.6,0.3833333333,0.5842066667,0.6800266667,0,P00893|P00808|P01038|P01005|P00955,P00808|P00876|P00821|P01038|P01005
EVAL-007D1795-012,Carpenters,catf,10,5,0.6891860353,0.2,0.2,0.04,0.5340266667,0.6800266667,0,P00893|P00927|P00955|P00768|P01038,P00808|P00876|P00821|P01038|P01005
EVAL-007D1795-012,Carpenters,catf_no_credibility,10,5,0.6872657324,0.2,0.2,0.04,0.5340266667,0.6800266667,0,P00893|P00768|P00927|P00955|P01038,P00808|P00876|P00821|P01038|P01005
EVAL-007D1795-012,Carpenters,catf_uniform_weights,10,5,0.6910395853,0.2,0.2,0.05,0.5340266667,0.6800266667,0,P00893|P00955|P00927|P01038|P00768,P00808|P00876|P00821|P01038|P01005
EVAL-007D1795-013,Carpenters,average_rating,10,5,0.5597298777,0.4,0.4,0.13,0.49813,0.7236,0,P00915|P00880|P00799|P00894|P00779,P00779|P00756|P00886|P00985|P00894
EVAL-007D1795-013,Carpenters,catf,10,5,0.4586113813,0.2,0.2,0.06666666667,0.43221,0.7236,0,P00880|P00915|P00779|P00747|P00799,P00779|P00756|P00886|P00985|P00894
EVAL-007D1795-013,Carpenters,catf_no_credibility,10,5,0.4355787651,0.2,0.2,0.05,0.43221,0.7236,0,P00880|P00915|P00747|P00779|P00799,P00779|P00756|P00886|P00985|P00894
EVAL-007D1795-013,Carpenters,catf_uniform_weights,10,5,0.3805463951,0,0,0,0.32581,0.7236,0,P00915|P00880|P00747|P00799|P00824,P00779|P00756|P00886|P00985|P00894
EVAL-007D1795-014,Carpenters,average_rating,10,5,0.7957887852,0.6,0.6,0.4533333333,0.67024,0.78896,0,P00952|P01021|P00715|P00737|P00764,P00764|P00935|P00715|P00952|P01024
EVAL-007D1795-014,Carpenters,catf,10,5,0.7544677251,0.6,0.6,0.42,0.60592,0.78896,0,P00764|P00737|P01065|P01024|P00952,P00764|P00935|P00715|P00952|P01024
EVAL-007D1795-014,Carpenters,catf_no_credibility,10,5,0.7663619743,0.6,0.6,0.4533333333,0.60592,0.78896,0,P00764|P00737|P01024|P01065|P00952,P00764|P00935|P00715|P00952|P01024
EVAL-007D1795-014,Carpenters,catf_uniform_weights,10,5,0.7020430182,0.4,0.4,0.3333333333,0.53512,0.78896,0,P00764|P01065|P01024|P01026|P00737,P00764|P00935|P00715|P00952|P01024
EVAL-007D1795-015,Carpenters,average_rating,10,5,0.7747941217,0.4,0.4,0.3333333333,0.6892066667,0.8242733333,0,P00866|P00860|P00991|P00908|P00800,P00975|P00830|P00866|P00991|P00727
EVAL-007D1795-015,Carpenters,catf,10,5,0.878503095,0.6,0.6,0.52,0.7727533333,0.8242733333,0,P00991|P00866|P00908|P00800|P00830,P00975|P00830|P00866|P00991|P00727
EVAL-007D1795-015,Carpenters,catf_no_credibility,10,5,0.8820268483,0.6,0.6,0.55,0.7727533333,0.8242733333,0,P00991|P00866|P00908|P00830|P00800,P00975|P00830|P00866|P00991|P00727
EVAL-007D1795-015,Carpenters,catf_uniform_weights,10,5,0.8430703613,0.8,0.8,0.76,0.7327266667,0.8242733333,0,P00991|P00866|P00727|P00860|P00830,P00975|P00830|P00866|P00991|P00727
EVAL-007D1795-016,Carpenters,average_rating,10,5,0.8598465124,0.6,0.6,0.52,0.56695,0.6490366667,0,P00852|P01035|P01017|P00833|P00864,P00864|P00852|P00820|P00728|P01035
EVAL-007D1795-016,Carpenters,catf,10,5,0.8156405721,0.8,0.8,0.5433333333,0.6063766667,0.6490366667,0,P00833|P00852|P00728|P00820|P00864,P00864|P00852|P00820|P00728|P01035
EVAL-007D1795-016,Carpenters,catf_no_credibility,10,5,0.8933223272,0.8,0.8,0.6433333333,0.6063766667,0.6490366667,0,P00852|P00833|P00820|P00728|P00864,P00864|P00852|P00820|P00728|P01035
EVAL-007D1795-016,Carpenters,catf_uniform_weights,10,5,0.8007776705,0.8,0.8,0.6433333333,0.5721366667,0.6490366667,0,P00728|P00833|P01035|P00852|P00820,P00864|P00852|P00820|P00728|P01035
EVAL-007D1795-017,Carpenters,average_rating,10,5,0.6758877026,0.4,0.4,0.1466666667,0.5462,0.68334,0,P01057|P00763|P00989|P01012|P00882,P00827|P00989|P00951|P00867|P00882
EVAL-007D1795-017,Carpenters,catf,10,5,0.6186744656,0.4,0.4,0.1666666667,0.5138,0.68334,0,P01012|P00914|P00989|P00882|P01057,P00827|P00989|P00951|P00867|P00882
EVAL-007D1795-017,Carpenters,catf_no_credibility,10,5,0.6186744656,0.4,0.4,0.1666666667,0.5138,0.68334,0,P01012|P00914|P00989|P00882|P01057,P00827|P00989|P00951|P00867|P00882
EVAL-007D1795-017,Carpenters,catf_uniform_weights,10,5,0.6106522828,0.4,0.4,0.1666666667,0.5138,0.68334,0,P01012|P00914|P00882|P00989|P01057,P00827|P00989|P00951|P00867|P00882
EVAL-007D1795-018,Carpenters,average_rating,10,5,0.6031881905,0.2,0.2,0.05,0.54646,0.77002,0,P01063|P01030|P00998|P01042|P01054,P01022|P00910|P00786|P01037|P01042
EVAL-007D1795-018,Carpenters,catf,10,5,0.5935375473,0.2,0.2,0.1,0.54646,0.77002,0,P00998|P01042|P01063|P01054|P01030,P01022|P00910|P00786|P01037|P01042
EVAL-007D1795-018,Carpenters,catf_no_credibility,10,5,0.5873920174,0.2,0.2,0.06666666667,0.54646,0.77002,0,P00998|P01054|P01042|P01063|P01030,P01022|P00910|P00786|P01037|P01042
EVAL-007D1795-018,Carpenters,catf_uniform_weights,10,5,0.6621293507,0.4,0.4,0.2333333333,0.60402,0.77002,0,P00998|P01042|P01037|P01054|P01030,P01022|P00910|P00786|P01037|P01042
EVAL-007D1795-019,Carpenters,average_rating,10,5,0.4806101011,0.4,0.4,0.1666666667,0.4893066667,0.8190466667,1,P00746|P00940|P00773|P01045|P00848,P00720|P00961|P00745|P01045|P00773
EVAL-007D1795-019,Carpenters,catf,10,5,0.5041700603,0.4,0.4,0.1666666667,0.48186,0.8190466667,1,P00936|P00746|P00773|P00961|P00848,P00720|P00961|P00745|P01045|P00773
EVAL-007D1795-019,Carpenters,catf_no_credibility,10,5,0.5207743329,0.4,0.4,0.18,0.48186,0.8190466667,1,P00936|P00773|P00746|P00848|P00961,P00720|P00961|P00745|P01045|P00773
EVAL-007D1795-019,Carpenters,catf_uniform_weights,10,5,0.6225290055,0.4,0.4,0.2333333333,0.56998,0.8190466667,1,P00936|P00773|P00961|P00746|P00726,P00720|P00961|P00745|P01045|P00773
EVAL-007D1795-020,Carpenters,average_rating,10,5,0.6168325887,0.4,0.4,0.1466666667,0.5568933333,0.7617,1,P00777|P00977|P01010|P00912|P01009,P00772|P01010|P00816|P01009|P00744
EVAL-007D1795-020,Carpenters,catf,10,5,0.4215725934,0.2,0.2,0.1,0.4215533333,0.7617,1,P00977|P01009|P00912|P00777|P00724,P00772|P01010|P00816|P01009|P00744
EVAL-007D1795-020,Carpenters,catf_no_credibility,10,5,0.53970739,0.4,0.4,0.1466666667,0.5589933333,0.7617,1,P00977|P00777|P01009|P00912|P00772,P00772|P01010|P00816|P01009|P00744
EVAL-007D1795-020,Carpenters,catf_uniform_weights,10,5,0.4215725934,0.2,0.2,0.1,0.4215533333,0.7617,1,P00977|P01009|P00912|P00777|P00724,P00772|P01010|P00816|P01009|P00744
EVAL-0C42B644-001,Masons,average_rating,10,5,0.790803599,0.6,0.6,0.2866666667,0.59212,0.66308,0,P00210|P00037|P00246|P00158|P00140,P00137|P00140|P00158|P00246|P00244
EVAL-0C42B644-001,Masons,catf,10,5,0.7700083681,0.6,0.6,0.2866666667,0.5883066667,0.66308,0,P00288|P00210|P00140|P00246|P00158,P00137|P00140|P00158|P00246|P00244
EVAL-0C42B644-001,Masons,catf_no_credibility,10,5,0.7453036607,0.4,0.4,0.1666666667,0.5613066667,0.66308,0,P00288|P00210|P00140|P00158|P00037,P00137|P00140|P00158|P00246|P00244
EVAL-0C42B644-001,Masons,catf_uniform_weights,10,5,0.7598349784,0.4,0.4,0.1466666667,0.5613066667,0.66308,0,P00210|P00288|P00140|P00037|P00158,P00137|P00140|P00158|P00246|P00244
EVAL-0C42B644-002,Masons,average_rating,10,5,0.7383849093,0.6,0.6,0.52,0.5376666667,0.66784,0,P00316|P00220|P00255|P00006|P00030,P00220|P00115|P00030|P00123|P00316
EVAL-0C42B644-002,Masons,catf,10,5,0.4893260448,0.4,0.4,0.3333333333,0.3766266667,0.66784,0,P00316|P00296|P00030|P00255|P00006,P00220|P00115|P00030|P00123|P00316
EVAL-0C42B644-002,Masons,catf_no_credibility,10,5,0.4753543039,0.4,0.4,0.28,0.3766266667,0.66784,0,P00316|P00296|P00255|P00006|P00030,P00220|P00115|P00030|P00123|P00316
EVAL-0C42B644-002,Masons,catf_uniform_weights,10,5,0.4938287448,0.4,0.4,0.3333333333,0.3766266667,0.66784,0,P00316|P00296|P00030|P00006|P00255,P00220|P00115|P00030|P00123|P00316
EVAL-0C42B644-003,Masons,average_rating,10,5,0.6448456925,0.4,0.4,0.28,0.46526,0.6647933333,0,P00120|P00260|P00192|P00045|P00033,P00088|P00033|P00001|P00120|P00291
EVAL-0C42B644-003,Masons,catf,10,5,0.6718858734,0.4,0.4,0.2,0.49358,0.6647933333,0,P00260|P00033|P00017|P00001|P00192,P00088|P00033|P00001|P00120|P00291
EVAL-0C42B644-003,Masons,catf_no_credibility,10,5,0.6171119592,0.4,0.4,0.2,0.43386,0.6647933333,0,P00260|P00033|P00017|P00001|P00045,P00088|P00033|P00001|P00120|P00291
EVAL-0C42B644-003,Masons,catf_uniform_weights,10,5,0.6791388772,0.4,0.4,0.1666666667,0.49358,0.6647933333,0,P00192|P00260|P00033|P00001|P00017,P00088|P00033|P00001|P00120|P00291
EVAL-0C42B644-004,Masons,average_rating,10,5,0.4724037317,0.4,0.4,0.1466666667,0.4249866667,0.6683866667,0,P00164|P00205|P00341|P00173|P00302,P00025|P00341|P00285|P00197|P00302
EVAL-0C42B644-004,Masons,catf,10,5,0.6416577132,0.6,0.6,0.32,0.5090266667,0.6683866667,0,P00205|P00341|P00173|P00285|P00302,P00025|P00341|P00285|P00197|P00302
EVAL-0C42B644-004,Masons,catf_no_credibility,10,5,0.5767831518,0.4,0.4,0.2,0.43384,0.6683866667,0,P00205|P00341|P00173|P00285|P00164,P00025|P00341|P00285|P00197|P00302
EVAL-0C42B644-004,Masons,catf_uniform_weights,10,5,0.6204766911,0.6,0.6,0.32,0.4881066667,0.6683866667,0,P00205|P00341|P00164|P00285|P00302,P00025|P00341|P00285|P00197|P00302
EVAL-0C42B644-005,Masons,average_rating,10,5,0.9719319217,0.8,0.8,0.8,0.69534,0.71352,0,P00105|P00304|P00292|P00075|P00248,P00105|P00075|P00292|P00161|P00304
EVAL-0C42B644-005,Masons,catf,10,5,0.8106468085,0.6,0.6,0.42,0.56998,0.71352,0,P00292|P00248|P00290|P00105|P00075,P00105|P00075|P00292|P00161|P00304
EVAL-0C42B644-005,Masons,catf_no_credibility,10,5,0.7962524183,0.4,0.4,0.4,0.52766,0.71352,0,P00292|P00105|P00248|P00290|P00269,P00105|P00075|P00292|P00161|P00304
EVAL-0C42B644-005,Masons,catf_uniform_weights,10,5,0.7875745261,0.4,0.4,0.3333333333,0.52766,0.71352,0,P00292|P00248|P00105|P00290|P00269,P00105|P00075|P00292|P00161|P00304
EVAL-0C42B644-006,Masons,average_rating,10,5,0.7381395011,0.4,0.4,0.3,0.5662,0.72256,0,P00013|P00166|P00076|P00249|P00305,P00007|P00249|P00300|P00356|P00013
EVAL-0C42B644-006,Masons,catf,10,5,0.6693074168,0.2,0.2,0.2,0.50674,0.72256,0,P00013|P00166|P00076|P00014|P00150,P00007|P00249|P00300|P00356|P00013
EVAL-0C42B644-006,Masons,catf_no_credibility,10,5,0.7493043515,0.4,0.4,0.28,0.5889,0.72256,0,P00013|P00166|P00014|P00076|P00007,P00007|P00249|P00300|P00356|P00013
EVAL-0C42B644-006,Masons,catf_uniform_weights,10,5,0.6569821609,0.2,0.2,0.1,0.50674,0.72256,0,P00166|P00013|P00076|P00150|P00014,P00007|P00249|P00300|P00356|P00013
EVAL-0C42B644-007,Masons,average_rating,10,5,0.7851126746,0.6,0.6,0.3833333333,0.7002133333,0.7862933333,0,P00073|P00206|P00193|P00095|P00267,P00062|P00193|P00078|P00095|P00206
EVAL-0C42B644-007,Masons,catf,10,5,0.8379085719,0.8,0.8,0.5433333333,0.7417333333,0.7862933333,0,P00073|P00206|P00062|P00095|P00193,P00062|P00193|P00078|P00095|P00206
EVAL-0C42B644-007,Masons,catf_no_credibility,10,5,0.8391171364,0.8,0.8,0.5433333333,0.7417333333,0.7862933333,0,P00073|P00206|P00062|P00193|P00095,P00062|P00193|P00078|P00095|P00206
EVAL-0C42B644-007,Masons,catf_uniform_weights,10,5,0.8290559284,0.8,0.8,0.5433333333,0.7417333333,0.7862933333,0,P00073|P00206|P00193|P00095|P00062,P00062|P00193|P00078|P00095|P00206
EVAL-0C42B644-008,Masons,average_rating,10,5,0.7444314525,0.4,0.4,0.3333333333,0.50493,0.63422,0,P00311|P00268|P00253|P00005|P00325,P00135|P00253|P00352|P00311|P00044
EVAL-0C42B644-008,Masons,catf,10,5,0.7563696864,0.4,0.4,0.18,0.50493,0.63422,0,P00325|P00311|P00005|P00268|P00253,P00135|P00253|P00352|P00311|P00044
EVAL-0C42B644-008,Masons,catf_no_credibility,10,5,0.7583296261,0.4,0.4,0.28,0.50493,0.63422,0,P00311|P00325|P00268|P00005|P00253,P00135|P00253|P00352|P00311|P00044
EVAL-0C42B644-008,Masons,catf_uniform_weights,10,5,0.852964129,0.6,0.6,0.42,0.57483,0.63422,0,P00311|P00325|P00005|P00253|P00044,P00135|P00253|P00352|P00311|P00044
EVAL-0C42B644-009,Masons,average_rating,10,5,0.7203774142,0.4,0.4,0.18,0.61796,0.7250133333,0,P00048|P00066|P00334|P00139|P00333,P00271|P00333|P00066|P00301|P00043
EVAL-0C42B644-009,Masons,catf,10,5,0.9049607994,0.8,0.8,0.76,0.68964,0.7250133333,0,P00333|P00043|P00066|P00048|P00271,P00271|P00333|P00066|P00301|P00043
EVAL-0C42B644-009,Masons,catf_no_credibility,10,5,0.9049607994,0.8,0.8,0.76,0.68964,0.7250133333,0,P00333|P00043|P00066|P00048|P00271,P00271|P00333|P00066|P00301|P00043
EVAL-0C42B644-009,Masons,catf_uniform_weights,10,5,0.9153801071,0.8,0.8,0.8,0.68964,0.7250133333,0,P00333|P00043|P00066|P00271|P00048,P00271|P00333|P00066|P00301|P00043
EVAL-0C42B644-010,Masons,average_rating,10,5,0.764142545,0.6,0.6,0.4833333333,0.61442,0.71468,0,P00282|P00032|P00227|P00046|P00172,P00128|P00227|P00286|P00046|P00282
EVAL-0C42B644-010,Masons,catf,10,5,0.7898998274,0.6,0.6,0.3833333333,0.63464,0.71468,0,P00032|P00286|P00227|P00282|P00229,P00128|P00227|P00286|P00046|P00282
EVAL-0C42B644-010,Masons,catf_no_credibility,10,5,0.7818186114,0.6,0.6,0.3833333333,0.63464,0.71468,0,P00032|P00286|P00282|P00227|P00229,P00128|P00227|P00286|P00046|P00282
EVAL-0C42B644-010,Masons,catf_uniform_weights,10,5,0.7986819588,0.6,0.6,0.3833333333,0.63464,0.71468,0,P00032|P00227|P00282|P00286|P00229,P00128|P00227|P00286|P00046|P00282
EVAL-0C42B644-011,Masons,average_rating,10,5,0.5853898248,0.4,0.4,0.2333333333,0.4423866667,0.7001266667,0,P00266|P00328|P00280|P00237|P00215,P00058|P00055|P00114|P00328|P00280
EVAL-0C42B644-011,Masons,catf,10,5,0.6676762881,0.6,0.6,0.52,0.5189066667,0.7001266667,0,P00280|P00328|P00169|P00215|P00055,P00058|P00055|P00114|P00328|P00280
EVAL-0C42B644-011,Masons,catf_no_credibility,10,5,0.6676762881,0.6,0.6,0.52,0.5189066667,0.7001266667,0,P00280|P00328|P00169|P00215|P00055,P00058|P00055|P00114|P00328|P00280
EVAL-0C42B644-011,Masons,catf_uniform_weights,10,5,0.6853821252,0.6,0.6,0.55,0.5241866667,0.7001266667,0,P00280|P00328|P00266|P00055|P00215,P00058|P00055|P00114|P00328|P00280
EVAL-0C42B644-012,Masons,average_rating,10,5,0.866173934,0.6,0.6,0.42,0.61428,0.64808,0,P00324|P00264|P00021|P00221|P00039,P00221|P00335|P00039|P00324|P00191
EVAL-0C42B644-012,Masons,catf,10,5,0.7556431038,0.2,0.2,0.2,0.5248133333,0.64808,0,P00324|P00306|P00264|P00021|P00134,P00221|P00335|P00039|P00324|P00191
EVAL-0C42B644-012,Masons,catf_no_credibility,10,5,0.7530834971,0.2,0.2,0.06666666667,0.5248133333,0.64808,0,P00264|P00306|P00324|P00021|P00134,P00221|P00335|P00039|P00324|P00191
EVAL-0C42B644-012,Masons,catf_uniform_weights,10,5,0.7070188851,0.2,0.2,0.05,0.5248133333,0.64808,0,P00134|P00021|P00306|P00324|P00264,P00221|P00335|P00039|P00324|P00191
EVAL-0C42B644-013,Masons,average_rating,10,5,0.5282276658,0.4,0.4,0.13,0.4908133333,0.7802,0,P00149|P00223|P00154|P00170|P00184,P00318|P00234|P00009|P00170|P00184
EVAL-0C42B644-013,Masons,catf,10,5,0.3981979968,0.2,0.2,0.1,0.4002933333,0.7802,0,P00223|P00184|P00019|P00154|P00347,P00318|P00234|P00009|P00170|P00184
EVAL-0C42B644-013,Masons,catf_no_credibility,10,5,0.3981979968,0.2,0.2,0.1,0.4002933333,0.7802,0,P00223|P00184|P00019|P00154|P00347,P00318|P00234|P00009|P00170|P00184
EVAL-0C42B644-013,Masons,catf_uniform_weights,10,5,0.6312321817,0.8,0.8,0.5433333333,0.62844,0.7802,0,P00223|P00184|P00009|P00170|P00234,P00318|P00234|P00009|P00170|P00184
EVAL-0C42B644-014,Masons,average_rating,10,5,0.7457430431,0.4,0.4,0.18,0.6276,0.7585,0,P00224|P00200|P00242|P00354|P00327,P00327|P00200|P00002|P00081|P00160
EVAL-0C42B644-014,Masons,catf,10,5,0.7310749976,0.4,0.4,0.2333333333,0.61208,0.7585,0,P00224|P00327|P00160|P00310|P00178,P00327|P00200|P00002|P00081|P00160
EVAL-0C42B644-014,Masons,catf_no_credibility,10,5,0.7434524094,0.4,0.4,0.2333333333,0.62764,0.7585,0,P00224|P00327|P00160|P00242|P00310,P00327|P00200|P00002|P00081|P00160
