source_provider_id,provider_id,source_category,category,source_district,mapped_district,mapping_algorithm,mapping_version
P010024,P00024,Masons,Masons,Kurunegala,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010025,P00025,Masons,Masons,Kalutara,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010026,P00026,Masons,Masons,Matara,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010027,P00027,Masons,Masons,Gampaha,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010028,P00028,Masons,Masons,Nuwara Eliya,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010029,P00029,Masons,Masons,Colombo,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010030,P00030,Masons,Masons,Kalutara,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010031,P00031,Masons,Masons,Jaffna,Kandy,category-sorted-bijection-v1,provider-map-v1
P010032,P00032,Masons,Masons,Galle,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010033,P00033,Masons,Masons,Kurunegala,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010034,P00034,Masons,Masons,Jaffna,Colombo,category-sorted-bijection-v1,provider-map-v1
P010035,P00035,Masons,Masons,Kalutara,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010036,P00036,Masons,Masons,Galle,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010037,P00037,Masons,Masons,Kalutara,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010038,P00038,Masons,Masons,Matale,Colombo,category-sorted-bijection-v1,provider-map-v1
P010039,P00039,Masons,Masons,Ratnapura,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010040,P00040,Masons,Masons,Kurunegala,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010041,P00041,Masons,Masons,Jaffna,Kandy,category-sorted-bijection-v1,provider-map-v1
P010042,P00042,Masons,Masons,Badulla,Kandy,category-sorted-bijection-v1,provider-map-v1
P010043,P00043,Masons,Masons,Kalutara,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010044,P00044,Masons,Masons,Jaffna,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010045,P00045,Masons,Masons,Badulla,Matara,category-sorted-bijection-v1,provider-map-v1
P010046,P00046,Masons,Masons,Badulla,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010047,P00047,Masons,Masons,Kalutara,Matara,category-sorted-bijection-v1,provider-map-v1
P010048,P00048,Masons,Masons,Badulla,Colombo,category-sorted-bijection-v1,provider-map-v1
P010049,P00049,Masons,Masons,Ratnapura,Matara,category-sorted-bijection-v1,provider-map-v1
P010050,P00050,Masons,Masons,Galle,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010051,P00051,Masons,Masons,Ratnapura,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010052,P00052,Masons,Masons,Galle,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010053,P00053,Masons,Masons,Galle,Galle,category-sorted-bijection-v1,provider-map-v1
P010054,P00054,Masons,Masons,Colombo,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010055,P00055,Masons,Masons,Matara,Galle,category-sorted-bijection-v1,provider-map-v1
P010056,P00056,Masons,Masons,Gampaha,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010057,P00057,Masons,Masons,Galle,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010058,P00058,Masons,Masons,Badulla,Galle,category-sorted-bijection-v1,provider-map-v1
P010059,P00059,Masons,Masons,Matara,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010060,P00060,Masons,Masons,Badulla,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010061,P00061,Masons,Masons,Kandy,Colombo,category-sorted-bijection-v1,provider-map-v1
P010062,P00062,Masons,Masons,Badulla,Matara,category-sorted-bijection-v1,provider-map-v1
P010063,P00063,Masons,Masons,Nuwara Eliya,Galle,category-sorted-bijection-v1,provider-map-v1
P010064,P00064,Masons,Masons,Kalutara,Colombo,category-sorted-bijection-v1,provider-map-v1
P010065,P00065,Masons,Masons,Kurunegala,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010066,P00066,Masons,Masons,Matara,Galle,category-sorted-bijection-v1,provider-map-v1
P010067,P00067,Masons,Masons,Jaffna,Galle,category-sorted-bijection-v1,provider-map-v1
P010068,P00068,Masons,Masons,Kalutara,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010069,P00069,Masons,Masons,Matale,Colombo,category-sorted-bijection-v1,provider-map-v1
P010070,P00070,Masons,Masons,Nuwara Eliya,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010071,P00071,Masons,Masons,Kurunegala,Galle,category-sorted-bijection-v1,provider-map-v1
P010072,P00072,Masons,Masons,Ratnapura,Galle,category-sorted-bijection-v1,provider-map-v1
P010073,P00073,Masons,Masons,Matara,Galle,category-sorted-bijection-v1,provider-map-v1
P010074,P00074,Masons,Masons,Galle,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010075,P00075,Masons,Masons,Colombo,Matara,category-sorted-bijection-v1,provider-map-v1
P010076,P00076,Masons,Masons,Ratnapura,Colombo,category-sorted-bijection-v1,provider-map-v1
P010077,P00077,Masons,Masons,Gampaha,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010078,P00078,Masons,Masons,Gampaha,Galle,category-sorted-bijection-v1,provider-map-v1
P010079,P00079,Masons,Masons,Batticaloa,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010080,P00080,Masons,Masons,Matara,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010081,P00081,Masons,Masons,Nuwara Eliya,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010082,P00082,Masons,Masons,Batticaloa,Galle,category-sorted-bijection-v1,provider-map-v1
P010083,P00083,Masons,Masons,Colombo,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010084,P00084,Masons,Masons,Nuwara Eliya,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010085,P00085,Masons,Masons,Nuwara Eliya,Galle,category-sorted-bijection-v1,provider-map-v1
P010086,P00086,Masons,Masons,Matale,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010087,P00087,Masons,Masons,Kurunegala,Kandy,category-sorted-bijection-v1,provider-map-v1
P010088,P00088,Masons,Masons,Ratnapura,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010089,P00089,Masons,Masons,Colombo,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010090,P00090,Masons,Masons,Colombo,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010091,P00091,Masons,Masons,Matale,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010092,P00092,Masons,Masons,Badulla,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010093,P00093,Masons,Masons,Nuwara Eliya,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010094,P00094,Masons,Masons,Anuradhapura,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010095,P00095,Masons,Masons,Nuwara Eliya,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010096,P00096,Masons,Masons,Kurunegala,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010097,P00097,Masons,Masons,Colombo,Kandy,category-sorted-bijection-v1,provider-map-v1
P010098,P00098,Masons,Masons,Matara,Colombo,category-sorted-bijection-v1,provider-map-v1
P010099,P00099,Masons,Masons,Kalutara,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010100,P00100,Masons,Masons,Kalutara,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010101,P00101,Masons,Masons,Jaffna,Kandy,category-sorted-bijection-v1,provider-map-v1
P010102,P00102,Masons,Masons,Colombo,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010103,P00103,Masons,Masons,Kalutara,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010104,P00104,Masons,Masons,Anuradhapura,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010105,P00105,Masons,Masons,Nuwara Eliya,Matara,category-sorted-bijection-v1,provider-map-v1
P010106,P00106,Masons,Masons,Batticaloa,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010107,P00107,Masons,Masons,Kalutara,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010108,P00108,Masons,Masons,Kurunegala,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010109,P00109,Masons,Masons,Nuwara Eliya,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010110,P00110,Masons,Masons,Badulla,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010111,P00111,Masons,Masons,Anuradhapura,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010112,P00112,Masons,Masons,Kandy,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010113,P00113,Masons,Masons,Matara,Kandy,category-sorted-bijection-v1,provider-map-v1
P010114,P00114,Masons,Masons,Jaffna,Matara,category-sorted-bijection-v1,provider-map-v1
P010115,P00115,Masons,Masons,Gampaha,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010116,P00116,Masons,Masons,Nuwara Eliya,Colombo,category-sorted-bijection-v1,provider-map-v1
P010117,P00117,Masons,Masons,Galle,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010118,P00118,Masons,Masons,Anuradhapura,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010119,P00119,Masons,Masons,Galle,Colombo,category-sorted-bijection-v1,provider-map-v1
P010120,P00120,Masons,Masons,Gampaha,Kandy,category-sorted-bijection-v1,provider-map-v1
P010121,P00121,Masons,Masons,Jaffna,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010122,P00122,Masons,Masons,Kandy,Colombo,category-sorted-bijection-v1,provider-map-v1
P010123,P00123,Masons,Masons,Nuwara Eliya,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010124,P00124,Masons,Masons,Matara,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010125,P00125,Masons,Masons,Batticaloa,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010126,P00126,Masons,Masons,Kurunegala,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010127,P00127,Masons,Masons,Kalutara,Galle,category-sorted-bijection-v1,provider-map-v1
P010128,P00128,Masons,Masons,Batticaloa,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010129,P00129,Masons,Masons,Kandy,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010130,P00130,Masons,Masons,Kurunegala,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010131,P00131,Masons,Masons,Kurunegala,Matara,category-sorted-bijection-v1,provider-map-v1
P010132,P00132,Masons,Masons,Badulla,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010133,P00133,Masons,Masons,Kurunegala,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010134,P00134,Masons,Masons,Kurunegala,Colombo,category-sorted-bijection-v1,provider-map-v1
P010135,P00135,Masons,Masons,Matale,Galle,category-sorted-bijection-v1,provider-map-v1
P010136,P00136,Masons,Masons,Jaffna,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010137,P00137,Masons,Masons,Kalutara,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010138,P00138,Masons,Masons,Batticaloa,Matara,category-sorted-bijection-v1,provider-map-v1
P010139,P00139,Masons,Masons,Kurunegala,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010140,P00140,Masons,Masons,Jaffna,Galle,category-sorted-bijection-v1,provider-map-v1
P010141,P00141,Masons,Masons,Gampaha,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010142,P00142,Masons,Masons,Nuwara Eliya,Kandy,category-sorted-bijection-v1,provider-map-v1
P010143,P00143,Masons,Masons,Nuwara Eliya,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010144,P00144,Masons,Masons,Jaffna,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010145,P00145,Masons,Masons,Jaffna,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010146,P00146,Masons,Masons,Galle,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010147,P00147,Masons,Masons,Kalutara,Colombo,category-sorted-bijection-v1,provider-map-v1
P010148,P00148,Masons,Masons,Gampaha,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010149,P00149,Masons,Masons,Kandy,Galle,category-sorted-bijection-v1,provider-map-v1
P010150,P00150,Masons,Masons,Badulla,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010151,P00151,Masons,Masons,Batticaloa,Galle,category-sorted-bijection-v1,provider-map-v1
P010152,P00152,Masons,Masons,Kalutara,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010153,P00153,Masons,Masons,Gampaha,Colombo,category-sorted-bijection-v1,provider-map-v1
P010154,P00154,Masons,Masons,Batticaloa,Galle,category-sorted-bijection-v1,provider-map-v1
P010155,P00155,Masons,Masons,Colombo,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010156,P00156,Masons,Masons,Gampaha,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010157,P00157,Masons,Masons,Batticaloa,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010158,P00158,Masons,Masons,Jaffna,Galle,category-sorted-bijection-v1,provider-map-v1
P010159,P00159,Masons,Masons,Ratnapura,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010160,P00160,Masons,Masons,Badulla,Matara,category-sorted-bijection-v1,provider-map-v1
P010161,P00161,Masons,Masons,Matara,Galle,category-sorted-bijection-v1,provider-map-v1
P010162,P00162,Masons,Masons,Colombo,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010163,P00163,Masons,Masons,Nuwara Eliya,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010164,P00164,Masons,Masons,Ratnapura,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010165,P00165,Masons,Masons,Anuradhapura,Galle,category-sorted-bijection-v1,provider-map-v1
P010166,P00166,Masons,Masons,Matara,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010167,P00167,Masons,Masons,Galle,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010168,P00168,Masons,Masons,Kurunegala,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010169,P00169,Masons,Masons,Matara,Galle,category-sorted-bijection-v1,provider-map-v1
P010170,P00170,Masons,Masons,Nuwara Eliya,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010171,P00171,Masons,Masons,Anuradhapura,Matara,category-sorted-bijection-v1,provider-map-v1
P010172,P00172,Masons,Masons,Ratnapura,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010173,P00173,Masons,Masons,Jaffna,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010174,P00174,Masons,Masons,Colombo,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010175,P00175,Masons,Masons,Anuradhapura,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010176,P00176,Masons,Masons,Badulla,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010177,P00177,Masons,Masons,Colombo,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010178,P00178,Masons,Masons,Badulla,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010179,P00179,Masons,Masons,Matale,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010180,P00180,Masons,Masons,Jaffna,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010181,P00181,Masons,Masons,Kandy,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010182,P00182,Masons,Masons,Kalutara,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010183,P00183,Masons,Masons,Badulla,Colombo,category-sorted-bijection-v1,provider-map-v1
P010184,P00184,Masons,Masons,Badulla,Colombo,category-sorted-bijection-v1,provider-map-v1
P010185,P00185,Masons,Masons,Kalutara,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010186,P00186,Masons,Masons,Badulla,Kandy,category-sorted-bijection-v1,provider-map-v1
P010187,P00187,Masons,Masons,Jaffna,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010188,P00188,Masons,Masons,Colombo,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010189,P00189,Masons,Masons,Matale,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010190,P00190,Masons,Masons,Kandy,Kandy,category-sorted-bijection-v1,provider-map-v1
P010191,P00191,Masons,Masons,Batticaloa,Kandy,category-sorted-bijection-v1,provider-map-v1
P010192,P00192,Masons,Masons,Kalutara,Galle,category-sorted-bijection-v1,provider-map-v1
P010193,P00193,Masons,Masons,Matale,Galle,category-sorted-bijection-v1,provider-map-v1
P010194,P00194,Masons,Masons,Ratnapura,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010195,P00195,Masons,Masons,Gampaha,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010196,P00196,Masons,Masons,Galle,Colombo,category-sorted-bijection-v1,provider-map-v1
P010197,P00197,Masons,Masons,Nuwara Eliya,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010198,P00198,Masons,Masons,Anuradhapura,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010199,P00199,Masons,Masons,Badulla,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010200,P00200,Masons,Masons,Ratnapura,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010201,P00201,Masons,Masons,Colombo,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010202,P00202,Masons,Masons,Jaffna,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010203,P00203,Masons,Masons,Nuwara Eliya,Kandy,category-sorted-bijection-v1,provider-map-v1
P010204,P00204,Masons,Masons,Galle,Galle,category-sorted-bijection-v1,provider-map-v1
P010205,P00205,Masons,Masons,Ratnapura,Kandy,category-sorted-bijection-v1,provider-map-v1
P010206,P00206,Masons,Masons,Badulla,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010207,P00207,Masons,Masons,Anuradhapura,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010208,P00208,Masons,Masons,Kandy,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010209,P00209,Masons,Masons,Galle,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010210,P00210,Masons,Masons,Jaffna,Galle,category-sorted-bijection-v1,provider-map-v1
P010211,P00211,Masons,Masons,Galle,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010212,P00212,Masons,Masons,Badulla,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010213,P00213,Masons,Masons,Galle,Galle,category-sorted-bijection-v1,provider-map-v1
P010214,P00214,Masons,Masons,Gampaha,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010215,P00215,Masons,Masons,Jaffna,Colombo,category-sorted-bijection-v1,provider-map-v1
P010216,P00216,Masons,Masons,Ratnapura,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010217,P00217,Masons,Masons,Galle,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010218,P00218,Masons,Masons,Batticaloa,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010219,P00219,Masons,Masons,Kandy,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010220,P00220,Masons,Masons,Kalutara,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010221,P00221,Masons,Masons,Kurunegala,Galle,category-sorted-bijection-v1,provider-map-v1
P010222,P00222,Masons,Masons,Batticaloa,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010223,P00223,Masons,Masons,Nuwara Eliya,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010224,P00224,Masons,Masons,Matara,Galle,category-sorted-bijection-v1,provider-map-v1
P010225,P00225,Masons,Masons,Colombo,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010226,P00226,Masons,Masons,Batticaloa,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010227,P00227,Masons,Masons,Anuradhapura,Matara,category-sorted-bijection-v1,provider-map-v1
P010228,P00228,Masons,Masons,Nuwara Eliya,Matara,category-sorted-bijection-v1,provider-map-v1
P010229,P00229,Masons,Masons,Matara,Colombo,category-sorted-bijection-v1,provider-map-v1
P010230,P00230,Masons,Masons,Kalutara,Kandy,category-sorted-bijection-v1,provider-map-v1
P010231,P00231,Masons,Masons,Kalutara,Kandy,category-sorted-bijection-v1,provider-map-v1
P010232,P00232,Masons,Masons,Gampaha,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010233,P00233,Masons,Masons,Colombo,Matara,category-sorted-bijection-v1,provider-map-v1
P010234,P00234,Masons,Masons,Matara,Matara,category-sorted-bijection-v1,provider-map-v1
P010235,P00235,Masons,Masons,Matara,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010236,P00236,Masons,Masons,Gampaha,Kandy,category-sorted-bijection-v1,provider-map-v1
P010237,P00237,Masons,Masons,Jaffna,Kandy,category-sorted-bijection-v1,provider-map-v1
P010238,P00238,Masons,Masons,Colombo,Kandy,category-sorted-bijection-v1,provider-map-v1
P010239,P00239,Masons,Masons,Jaffna,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010240,P00240,Masons,Masons,Matara,Matara,category-sorted-bijection-v1,provider-map-v1
P010241,P00241,Masons,Masons,Colombo,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010242,P00242,Masons,Masons,Kandy,Kandy,category-sorted-bijection-v1,provider-map-v1
P010243,P00243,Masons,Masons,Colombo,Galle,category-sorted-bijection-v1,provider-map-v1
P010244,P00244,Masons,Masons,Batticaloa,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010245,P00245,Masons,Masons,Kalutara,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010246,P00246,Masons,Masons,Gampaha,Colombo,category-sorted-bijection-v1,provider-map-v1
P010247,P00247,Masons,Masons,Colombo,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010248,P00248,Masons,Masons,Galle,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010249,P00249,Masons,Masons,Kalutara,Matara,category-sorted-bijection-v1,provider-map-v1
P010250,P00250,Masons,Masons,Batticaloa,Galle,category-sorted-bijection-v1,provider-map-v1
P010251,P00251,Masons,Masons,Colombo,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010252,P00252,Masons,Masons,Batticaloa,Galle,category-sorted-bijection-v1,provider-map-v1
P010253,P00253,Masons,Masons,Badulla,Matara,category-sorted-bijection-v1,provider-map-v1
P010254,P00254,Masons,Masons,Kandy,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010255,P00255,Masons,Masons,Kalutara,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010256,P00256,Masons,Masons,Gampaha,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010257,P00257,Masons,Masons,Matale,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010258,P00258,Masons,Masons,Nuwara Eliya,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010259,P00259,Masons,Masons,Colombo,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010260,P00260,Masons,Masons,Matara,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010261,P00261,Masons,Masons,Nuwara Eliya,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010262,P00262,Masons,Masons,Kandy,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010263,P00263,Masons,Masons,Kalutara,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010264,P00264,Masons,Masons,Kandy,Colombo,category-sorted-bijection-v1,provider-map-v1
P010265,P00265,Masons,Masons,Anuradhapura,Matara,category-sorted-bijection-v1,provider-map-v1
P010266,P00266,Masons,Masons,Batticaloa,Galle,category-sorted-bijection-v1,provider-map-v1
P010267,P00267,Masons,Masons,Colombo,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010268,P00268,Masons,Masons,Nuwara Eliya,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010269,P00269,Masons,Masons,Kurunegala,Galle,category-sorted-bijection-v1,provider-map-v1
P010270,P00270,Masons,Masons,Colombo,Colombo,category-sorted-bijection-v1,provider-map-v1
P010271,P00271,Masons,Masons,Matara,Kandy,category-sorted-bijection-v1,provider-map-v1
P010272,P00272,Masons,Masons,Gampaha,Kandy,category-sorted-bijection-v1,provider-map-v1
P010273,P00273,Masons,Masons,Colombo,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010274,P00274,Masons,Masons,Matale,Matara,category-sorted-bijection-v1,provider-map-v1
P010275,P00275,Masons,Masons,Ratnapura,Galle,category-sorted-bijection-v1,provider-map-v1
P010276,P00276,Masons,Masons,Galle,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010277,P00277,Masons,Masons,Kalutara,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010278,P00278,Masons,Masons,Kurunegala,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010279,P00279,Masons,Masons,Badulla,Galle,category-sorted-bijection-v1,provider-map-v1
P010280,P00280,Masons,Masons,Colombo,Colombo,category-sorted-bijection-v1,provider-map-v1
P010281,P00281,Masons,Masons,Kalutara,Kandy,category-sorted-bijection-v1,provider-map-v1
P010282,P00282,Masons,Masons,Kurunegala,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010283,P00283,Masons,Masons,Kurunegala,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010284,P00284,Masons,Masons,Matara,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010285,P00285,Masons,Masons,Colombo,Kandy,category-sorted-bijection-v1,provider-map-v1
